Temple,Announcement,Groundbreaking,Dedication
Kirtland Temple,1832-12-27,1833-06-05,1836-03-27
Nauvoo Temple,1840-08-31,1841-02-18,1846-05-01
Salt Lake Temple,1847-07-28,1853-02-14,1893-04-06
St. George Utah Temple,1871-01-31,1871-11-09,1877-04-06
Manti Utah Temple,1875-06-25,1877-04-25,1888-05-21
Logan Utah Temple,1876-10-06,1877-05-18,1884-05-17
Cardston Alberta Temple,1913-06-27,1913-11-09,1923-08-26
Laie Hawaii Temple,1915-10-03,1916-02-08,1919-11-27
Mesa Arizona Temple,1919-10-03,1922-04-25,1927-10-23
Idaho Falls Idaho Temple,1937-03-03,1939-12-19,1945-09-23
Los Angeles California Temple,1937-03-06,1951-09-22,1956-03-11
Bern Switzerland Temple,1952-07-01,1953-08-05,1955-09-11
London England Temple,1953-08-10,1955-08-27,1958-09-07
Hamilton New Zealand Temple,1955-02-17,1955-12-21,1958-04-20
Oakland California Temple,1961-01-23,1962-05-26,1964-11-17
Provo Utah Temple,1967-08-14,1969-09-15,1972-02-09
Ogden Utah Temple,1967-08-24,1969-09-08,1972-01-18
Washington D.C. Temple,1968-11-15,1968-12-07,1974-11-19
São Paulo Brazil Temple,1975-03-01,1976-03-20,1978-10-30
Tokyo Japan Temple,1975-08-09,1978-04-10,1980-10-27
Seattle Washington Temple,1975-11-15,1978-05-27,1980-11-17
Mexico City Mexico Temple,1976-04-03,1979-11-25,1983-12-02
Apia Samoa Temple,1977-10-15,1981-02-19,1983-08-05
Jordan River Utah Temple,1978-02-03,1979-06-09,1981-11-16
Atlanta Georgia Temple,1980-04-02,1981-03-07,1983-06-01
Buenos Aires Argentina Temple,1980-04-02,1983-04-20,1986-01-17
Nuku'alofa Tonga Temple,1980-04-02,1981-02-18,1983-08-09
Papeete Tahiti Temple,1980-04-02,1981-02-13,1983-10-27
Santiago Chile Temple,1980-04-02,1981-05-30,1983-09-15
Sydney Australia Temple,1980-04-02,1982-08-13,1984-09-20
Chicago Illinois Temple,1981-04-01,1983-08-13,1985-08-09
Dallas Texas Temple,1981-04-01,1983-01-22,1984-10-19
Frankfurt Germany Temple,1981-04-01,1985-07-01,1987-08-28
Guatemala City Guatemala Temple,1981-04-01,1982-09-12,1984-12-14
Johannesburg South Africa Temple,1981-04-01,1982-11-27,1985-08-24
Lima Peru Temple,1981-04-01,1982-09-11,1986-01-10
Manila Philippines Temple,1981-04-01,1982-08-25,1984-09-25
Seoul Korea Temple,1981-04-01,1983-05-09,1985-12-14
Stockholm Sweden Temple,1981-04-01,1984-03-17,1985-07-02
Boise Idaho Temple,1982-03-31,1982-12-18,1984-05-25
Denver Colorado Temple,1982-03-31,1984-05-19,1986-10-24
Guayaquil Ecuador Temple,1982-03-31,1996-08-10,1999-08-01
Taipei Taiwan Temple,1982-03-31,1982-08-27,1984-11-17
Freiberg Germany Temple,1982-10-09,1983-04-23,1985-06-29
Bogotá Colombia Temple,1984-04-07,1993-06-26,1999-04-24
Las Vegas Nevada Temple,1984-04-07,1985-11-30,1989-12-16
Portland Oregon Temple,1984-04-07,1986-09-20,1989-08-19
San Diego California Temple,1984-04-07,1988-02-27,1993-04-25
Toronto Ontario Temple,1984-04-07,1987-10-10,1990-08-25
Bountiful Utah Temple,1990-02-02,1992-05-02,1995-01-08
Orlando Florida Temple,1990-02-17,1992-06-20,1994-10-09
St. Louis Missouri Temple,1990-12-29,1993-10-30,1997-06-01
Hong Kong China Temple,1992-10-03,1994-01-22,1996-05-26
Mount Timpanogos Utah Temple,1992-10-03,1993-10-09,1996-10-13
Preston England Temple,1992-10-19,1994-06-12,1998-06-07
Madrid Spain Temple,1993-04-04,1996-06-11,1999-03-19
Santo Domingo Dominican Republic Temple,1993-11-16,1996-08-18,2000-09-17
Vernal Utah Temple,1994-02-13,1995-05-13,1997-11-02
Nashville Tennessee Temple,1994-11-09,1999-03-13,2000-05-21
Cochabamba Bolivia Temple,1995-01-13,1996-11-10,2000-04-30
Recife Brazil Temple,1995-01-13,1996-11-11,2000-12-15
Boston Massachusetts Temple,1995-09-30,1997-06-13,2000-10-01
Caracas Venezuela Temple,1995-09-30,1999-01-10,2000-08-20
Monterrey Mexico Temple,1995-12-21,2000-11-04,2002-04-28
Billings Montana Temple,1996-08-30,1998-03-30,1999-11-20
Campinas Brazil Temple,1997-04-03,1998-05-01,2002-05-17
Albuquerque New Mexico Temple,1997-04-04,1998-06-20,2000-03-05
Houston Texas Temple,1997-09-30,1998-06-13,2000-08-26
Porto Alegre Brazil Temple,1997-09-30,1998-05-02,2000-12-17
Anchorage Alaska Temple,1997-10-04,1998-04-17,1999-01-09
Colonia Juárez Chihuahua Mexico Temple,1997-10-04,1998-03-07,1999-03-06
Monticello Utah Temple,1997-10-04,1997-11-17,1998-07-26
Accra Ghana Temple,1998-02-16,2001-11-16,2004-01-11
Columbus Ohio Temple,1998-04-25,1998-09-12,1999-09-04
Ciudad Juárez Mexico Temple,1998-05-07,1999-01-09,2000-02-26
Fukuoka Japan Temple,1998-05-07,1999-03-20,2000-06-11
Halifax Nova Scotia Temple,1998-05-07,1998-10-12,1999-11-14
Kona Hawaii Temple,1998-05-07,1999-03-13,2000-01-23
Suva Fiji Temple,1998-05-07,1999-05-08,2000-06-18
Tampico Mexico Temple,1998-07-08,1998-11-28,2000-05-20
Brisbane Australia Temple,1998-07-20,2001-05-26,2003-06-15
Hermosillo Sonora Mexico Temple,1998-07-20,1998-12-05,2000-02-27
Kyiv Ukraine Temple,1998-07-20,2007-06-23,2010-08-29
Bismarck North Dakota Temple,1998-07-29,1998-10-17,1999-09-19
St. Paul Minnesota Temple,1998-07-29,1998-09-26,2000-01-09
Regina Saskatchewan Temple,1998-08-03,1998-11-14,1999-11-14
Montreal Quebec Temple,1998-08-06,1999-04-09,2000-06-04
Detroit Michigan Temple,1998-08-10,1998-10-10,1999-10-23
Edmonton Alberta Temple,1998-08-11,1999-02-27,1999-12-11
Spokane Washington Temple,1998-08-13,1998-10-10,1999-08-21
Raleigh North Carolina Temple,1998-09-03,1999-02-06,1999-12-18
Birmingham Alabama Temple,1998-09-11,1999-10-09,2000-09-03
Columbia South Carolina Temple,1998-09-11,1998-12-05,1999-10-16
Memphis Tennessee Temple,1998-09-17,1999-01-16,2000-04-23
Mérida Mexico Temple,1998-09-25,1999-01-16,2000-07-08
Baton Rouge Louisiana Temple,1998-10-14,1999-05-08,2000-07-16
Melbourne Australia Temple,1998-10-30,1999-03-20,2000-06-16
Villahermosa Mexico Temple,1998-10-30,1999-01-09,2000-05-21
Montevideo Uruguay Temple,1998-11-02,1999-04-27,2001-03-18
Fresno California Temple,1999-01-08,1999-03-20,2000-04-09
Palmyra New York Temple,1999-02-21,1999-05-25,2000-04-06
Oaxaca Mexico Temple,1999-02-23,1999-03-13,2000-03-11
Tuxtla Gutiérrez Mexico Temple,1999-02-25,1999-03-20,2000-03-12
Oklahoma City Oklahoma Temple,1999-03-14,1999-07-03,2000-07-30
Medford Oregon Temple,1999-03-15,1999-05-20,2000-04-16
Adelaide Australia Temple,1999-03-17,1999-05-29,2000-06-15
Copenhagen Denmark Temple,1999-03-17,1999-04-24,2004-05-23
Louisville Kentucky Temple,1999-03-17,1999-05-29,2000-03-19
San José Costa Rica Temple,1999-03-17,1999-04-24,2000-06-04
Nauvoo Illinois Temple,1999-04-04,1999-10-24,2002-06-27
Reno Nevada Temple,1999-04-12,1999-07-24,2000-04-23
Guadalajara Mexico Temple,1999-04-14,1999-06-12,2001-04-29
Veracruz Mexico Temple,1999-04-14,1999-05-29,2000-07-09
Perth Australia Temple,1999-06-11,1999-11-20,2001-05-20
Winter Quarters Nebraska Temple,1999-06-14,1999-11-28,2001-04-22
The Hague Netherlands Temple,1999-08-16,2000-08-26,2002-09-08
Aba Nigeria Temple,2000-04-02,2002-02-23,2005-08-07
Asunción Paraguay Temple,2000-04-02,2001-02-03,2002-05-19
Columbia River Washington Temple,2000-04-02,2000-10-28,2001-11-18
Helsinki Finland Temple,2000-04-02,2003-03-29,2006-10-22
Lubbock Texas Temple,2000-04-02,2000-11-04,2002-04-21
Snowflake Arizona Temple,2000-04-02,2000-09-23,2002-03-03
Newport Beach California Temple,2001-04-21,2003-08-15,2005-08-28
Redlands California Temple,2001-04-21,2001-12-01,2003-09-14
Sacramento California Temple,2001-04-21,2004-08-22,2006-09-03
San Antonio Texas Temple,2001-06-24,2003-03-29,2005-05-22
Manhattan New York Temple,2002-08-07,2002-09-23,2004-06-13
Curitiba Brazil Temple,2002-08-23,2005-03-10,2008-06-01
Panama City Panama Temple,2002-08-23,2005-10-30,2008-08-10
Rexburg Idaho Temple,2003-12-12,2005-07-30,2008-02-10
Draper Utah Temple,2004-10-02,2006-08-05,2009-03-20
Twin Falls Idaho Temple,2004-10-02,2006-04-15,2008-08-24
Oquirrh Mountain Utah Temple,2005-10-01,2006-12-16,2009-08-21
Cebu City Philippines Temple,2006-04-18,2007-11-14,2010-06-13
Vancouver British Columbia Temple,2006-05-25,2007-08-04,2010-05-02
Tegucigalpa Honduras Temple,2006-06-09,2009-09-12,2013-03-17
Quetzaltenango Guatemala Temple,2006-12-16,2009-03-14,2011-12-11
Manaus Brazil Temple,2007-05-23,2008-06-20,2012-06-10
San Salvador El Salvador Temple,2007-11-18,2008-09-20,2011-08-21
Gilbert Arizona Temple,2008-04-26,2010-11-13,2014-03-02
The Gila Valley Arizona Temple,2008-04-26,2009-02-14,2010-05-23
Phoenix Arizona Temple,2008-05-24,2011-06-04,2014-11-16
Calgary Alberta Temple,2008-10-04,2010-05-15,2012-10-28
Córdoba Argentina Temple,2008-10-04,2010-10-30,2015-05-17
Kansas City Missouri Temple,2008-10-04,2010-05-08,2012-05-06
Philadelphia Pennsylvania Temple,2008-10-04,2011-09-17,2016-09-18
Rome Italy Temple,2008-10-04,2010-10-23,2019-03-10
Trujillo Peru Temple,2008-12-13,2011-09-14,2015-06-21
Brigham City Utah Temple,2009-10-03,2010-07-31,2012-09-23
Concepción Chile Temple,2009-10-03,2015-10-17,2018-10-28
Fort Lauderdale Florida Temple,2009-10-03,2011-06-18,2014-05-04
Fortaleza Brazil Temple,2009-10-03,2011-11-15,2019-06-02
Sapporo Japan Temple,2009-10-03,2011-10-22,2016-08-21
Payson Utah Temple,2010-01-25,2011-10-08,2015-06-07
Hartford Connecticut Temple,2010-10-02,2013-08-17,2016-11-20
Indianapolis Indiana Temple,2010-10-02,2012-09-29,2015-08-23
Lisbon Portugal Temple,2010-10-02,2015-12-05,2019-09-15
Tijuana Mexico Temple,2010-10-02,2012-08-18,2015-12-13
Urdaneta Philippines Temple,2010-10-02,2019-01-16,
Fort Collins Colorado Temple,2011-04-02,2013-08-24,2016-10-16
Meridian Idaho Temple,2011-04-02,2014-08-23,2017-11-19
Winnipeg Manitoba Temple,2011-04-02,2016-12-03,2021-10-31
Barranquilla Colombia Temple,2011-10-01,2016-02-20,2018-12-09
Durban South Africa Temple,2011-10-01,2016-04-09,2020-02-16
Kinshasa Democratic Republic of the Congo Temple,2011-10-01,2016-02-12,2019-04-14
Paris France Temple,2011-10-01,2012-08-24,2017-05-21
Provo City Center Temple,2011-10-01,2012-05-12,2016-03-20
Star Valley Wyoming Temple,2011-10-01,2015-04-25,2016-10-30
Arequipa Peru Temple,2012-10-06,2017-03-04,2019-12-15
Tucson Arizona Temple,2012-10-06,2015-10-17,2017-08-13
Cedar City Utah Temple,2013-04-06,2015-08-08,2017-12-10
Rio de Janeiro Brazil Temple,2013-04-06,2017-03-04,2022-05-08
Abidjan Ivory Coast Temple,2015-04-05,2018-11-08,
Bangkok Thailand Temple,2015-04-05,2019-01-26,
Port-au-Prince Haiti Temple,2015-04-05,2017-10-28,2019-09-01
Belém Brazil Temple,2016-04-03,2019-08-17,
Harare Zimbabwe Temple,2016-04-03,2020-12-12,
Lima Peru Los Olivos Temple,2016-04-03,2019-06-08,
Quito Ecuador Temple,2016-04-03,2019-05-11,
Alabang Philippines Temple,2017-04-02,2020-06-04,
Brasília Brazil Temple,2017-04-02,2020-09-26,
Nairobi Kenya Temple,2017-04-02,2021-09-11,
Pocatello Idaho Temple,2017-04-02,2019-03-16,2021-11-07
Saratoga Springs Utah Temple,2017-04-02,2019-10-19,
Bengaluru India Temple,2018-04-01,2020-12-02,
Cagayan de Oro Philippines Temple,2018-04-01,,
Layton Utah Temple,2018-04-01,2020-05-23,
Managua Nicaragua Temple,2018-04-01,,
Richmond Virginia Temple,2018-04-01,2020-04-11,
Russia Temple,2018-04-01,,
Salta Argentina Temple,2018-04-01,2020-11-04,
Auckland New Zealand Temple,2018-10-07,2020-06-13,
Davao Philippines Temple,2018-10-07,2020-11-14,
Feather River California Temple,2018-10-07,2020-07-18,
Lagos Nigeria Temple,2018-10-07,,
Mendoza Argentina Temple,2018-10-07,2020-12-17,
Phnom Penh Cambodia Temple,2018-10-07,2021-09-18,
Praia Cape Verde Temple,2018-10-07,2019-05-04,2022-06-19
Puebla Mexico Temple,2018-10-07,2019-11-30,
Red Cliffs Utah Temple,2018-10-07,2020-11-07,
Salvador Brazil Temple,2018-10-07,2021-08-07,
San Juan Puerto Rico Temple,2018-10-07,2019-05-04,
Yigo Guam Temple,2018-10-07,2019-05-04,2022-05-22
Antofagasta Chile Temple,2019-04-07,2020-11-27,
Budapest Hungary Temple,2019-04-07,,
Deseret Peak Utah Temple,2019-04-07,2021-05-15,
Moses Lake Washington Temple,2019-04-07,2020-10-10,
Neiafu Tonga Temple,2019-04-07,2021-09-11,
Okinawa Japan Temple,2019-04-07,2020-12-05,
Pago Pago American Samoa Temple,2019-04-07,2021-10-30,
San Pedro Sula Honduras Temple,2019-04-07,2020-09-05,
Bacolod Philippines Temple,2019-10-05,2021-12-11,
Bentonville Arkansas Temple,2019-10-05,2020-11-07,
Cobán Guatemala Temple,2019-10-05,2020-11-14,
Freetown Sierra Leone Temple,2019-10-05,2022-03-19,
McAllen Texas Temple,2019-10-05,2020-11-21,
Orem Utah Temple,2019-10-05,2020-09-05,
Port Moresby Papua New Guinea Temple,2019-10-05,,
Taylorsville Utah Temple,2019-10-05,2020-10-31,
Bahía Blanca Argentina Temple,2020-04-05,2022-04-09,
Benin City Nigeria Temple,2020-04-05,,
Dubai United Arab Emirates Temple,2020-04-05,,
Lubumbashi Democratic Republic of the Congo Temple,2020-04-05,,
Pittsburgh Pennsylvania Temple,2020-04-05,2021-08-21,
Shanghai People's Republic of China Temple,2020-04-05,,
Syracuse Utah Temple,2020-04-05,2021-06-12,
Tallahassee Florida Temple,2020-04-05,2021-06-05,
Greater Guatemala City Temple,2020-10-04,,
Lindon Utah Temple,2020-10-04,2022-04-23,
Port Vila Vanuatu Temple,2020-10-04,,
Santa Cruz Bolivia Temple,2020-10-04,,
São Paulo Brazil East Temple,2020-10-04,,
Tarawa Kiribati Temple,2020-10-04,,
Beira Mozambique Temple,2021-04-04,,
Belo Horizonte Brazil Temple,2021-04-04,,
Brussels Belgium Temple,2021-04-04,,
Burley Idaho Temple,2021-04-04,2022-06-04,
Cali Colombia Temple,2021-04-04,,
Cape Town South Africa Temple,2021-04-04,,
Casper Wyoming Temple,2021-04-04,2021-10-09,
Elko Nevada Temple,2021-04-04,2022-05-07,
Farmington New Mexico Temple,2021-04-04,2022-04-30,
Grand Junction Colorado Temple,2021-04-04,2022-04-16,
Helena Montana Temple,2021-04-04,2021-06-26,
Kumasi Ghana Temple,2021-04-04,,
Oslo Norway Temple,2021-04-04,,
Querétaro Mexico Temple,2021-04-04,,
Singapore Republic of Singapore Temple,2021-04-04,,
Smithfield Utah Temple,2021-04-04,2022-06-18,
Torreón Mexico Temple,2021-04-04,,
Vienna Austria Temple,2021-04-04,,
Willamette Valley Oregon Temple,2021-04-04,,
Yorba Linda California Temple,2021-04-04,2022-06-18,
Ephraim Utah Temple,2021-05-01,,
Antananarivo Madagascar Temple,2021-10-03,,
Cody Wyoming Temple,2021-10-03,,
Culiacán Mexico Temple,2021-10-03,,
Fort Worth Texas Temple,2021-10-03,,
Heber Valley Utah Temple,2021-10-03,,
Kananga Democratic Republic of the Congo Temple,2021-10-03,,
Kaohsiung Taiwan Temple,2021-10-03,,
La Paz Bolivia Temple,2021-10-03,,
Monrovia Liberia Temple,2021-10-03,,
Rexburg Idaho North Temple,2021-10-03,,
Santiago Chile West Temple,2021-10-03,,
Tacloban City Philippines Temple,2021-10-03,,
Vitória Brazil Temple,2021-10-03,,
Austin Texas Temple,2022-04-03,,
Barcelona Spain Temple,2022-04-03,,
Birmingham England Temple,2022-04-03,,
Brazzaville Republic of the Congo Temple,2022-04-03,,
Cleveland Ohio Temple,2022-04-03,,
Cusco Peru Temple,2022-04-03,,
Knoxville Tennessee Temple,2022-04-03,,
Maceió Brazil Temple,2022-04-03,,
Mexico City Benemérito Mexico Temple,2022-04-03,,
Missoula Montana Temple,2022-04-03,,
Modesto California Temple,2022-04-03,,
Montpelier Idaho Temple,2022-04-03,,
San Luis Potosí Mexico Temple,2022-04-03,,
Santos Brazil Temple,2022-04-03,,
Tampa Florida Temple,2022-04-03,,
Wellington New Zealand Temple,2022-04-03,,
Wichita Kansas Temple,2022-04-03,,
